template	stringArg	min	max
object/tangible/component/armor/armor_core_assault_standard.iff	amount 	4	8
	armorLevel	1	1
	armorCategory	2	2
	general_protection	0.5	0.9
	condition	0.3	0.4
object/tangible/component/armor/armor_core_assault_advanced.iff	amount 	6	8
	armorLevel	2	2
	armorCategory	2	2
	general_protection	0.5	0.9
	condition	0.5	0.8
object/tangible/component/armor/armor_core_recon_basic.iff	amount 	2	6
	armorLevel	0	0
	armorCategory	0	0
	general_protection	0.5	0.9
	condition	0.3	0.4
object/tangible/component/armor/armor_core_recon_standard.iff	amount 	4	8
	armorLevel	1	1
	armorCategory	0	0
	general_protection	0.5	0.9
	condition	0.3	0.4
object/tangible/component/armor/armor_core_recon_advanced.iff	amount 	6	8
	armorLevel	2	2
	armorCategory	0	0
	general_protection	0.5	0.9
	condition	0.5	0.8
object/tangible/component/chemistry/infection_amplifier_donkuwah.iff	amount 	6	10
	power	15	30
	potency	20	40
object/tangible/component/weapon/rancor_tooth.iff	amount 	1	1
object/tangible/component/chemistry/rancor_bile.iff	amount 	1	1
	power	10	100
	charges	40	70
object/tangible/component/chemistry/janta_blood.iff	amount 	4	6
	power	100	200
	charges	5	10
object/tangible/component/munition/kliknick_gland.iff	amount 	1	1
object/tangible/component/weapon/blaster_power_handler_enhancement_krayt.iff	amount 	1	1
object/tangible/component/weapon/projectile_feed_mechanism_enhancement_gorax.iff	amount 	1	1
object/tangible/component/weapon/vibro_unit_enhancement_durability.iff	amount 	1	1
object/tangible/component/weapon/blaster_power_handler_enhancement_durability.iff	amount 	1	1
object/tangible/component/weapon/projectile_feed_mechanism_enhancement_durability.iff	amount 	1	1
object/tangible/component/weapon/vibro_unit_enhancement_min_damage.iff	amount 	1	1
object/tangible/component/weapon/blaster_power_handler_enhancement_min_damage.iff	amount 	1	1
object/tangible/component/weapon/projectile_feed_mechanism_enhancement_min_damage.iff	amount 	1	1
object/tangible/component/weapon/vibro_unit_enhancement_max_damage.iff	amount 	1	1
object/tangible/component/weapon/blaster_power_handler_enhancement_max_damage.iff	amount 	1	1
object/tangible/component/weapon/projectile_feed_mechanism_enhancement_max_damage.iff	amount 	1	1
object/tangible/component/weapon/vibro_unit_enhancement_wounding.iff	amount 	1	1
object/tangible/component/weapon/vibro_unit_nightsister.iff	amount 	1	1
object/tangible/component/weapon/geonosian_sword_core.iff	amount 	1	1
object/tangible/component/weapon/geonosian_reinforcement_core.iff	amount 	1	1
object/tangible/component/weapon/geonosian_solidifying_agent.iff	amount 	1	1
object/tangible/component/weapon/geonosian_power_cube.iff	amount 	1	1
object/tangible/component/weapon/geonosian_power_cube_green.iff	amount 	1	1
	condition	0.2	0.4
object/tangible/component/weapon/geonosian_power_cube_red.iff	amount 	1	1
object/tangible/component/weapon/geonosian_power_cube_yellow.iff	amount 	1	1
	general_protection	0.1	0.2
object/tangible/component/munition/acklay_venom.iff	amount 	1	1
object/tangible/component/weapon/acklay_bone_reinforcement_core.iff	amount 	1	1
	minDamage	10	20
	maxDamage	25	50
object/tangible/component/chemistry/spider_venom.iff	amount 	1	1
	level	125	300
	power	90	180
object/tangible/component/weapon/spider_spine.iff	amount 	1	1
	maxDamage	15	30
object/tangible/loot/dungeon/death_watch_bunker/pistol_de10_barrel.iff	amount 	1	1
object/tangible/component/armor/scale_giant_dune_kimogila.iff	amount 	6	8
	level	125	300
object/tangible/component/armor/hide_gurk_king.iff	amount 	6	8
	level	75	300
object/tangible/component/armor/bone_fragment_woolamander_harrower.iff	amount 	6	8
	level	75	300
object/tangible/component/clothing/clasp_heavy_duty.iff	amount 	6	8
object/tangible/component/clothing/clothing_treatment_crystalline.iff	amount 	6	8
object/tangible/component/clothing/leather_heavy_duty.iff	amount 	6	8
object/tangible/component/weapon/blaster_rifle_avatar_loot_barrel.iff	amount 	1	1
object/tangible/component/weapon/quest/projectile_feed_mechanism_faux_bowcaster.iff	amount 	1	1
object/tangible/component/weapon/quest/projectile_rifle_barrel_faux_bowcaster.iff	amount 	1	1
object/tangible/component/weapon/quest/blaster_power_handler_faux_bowcaster.iff	amount 	1	1
object/tangible/component/weapon/blaster_power_handler_enhancement_bounty.iff	amount 	4	6
object/tangible/component/weapon/projectile_feed_mechanism_enhancement_bounty.iff	amount 	3	5
object/tangible/component/armor/armor_segment_enhancement_janta.iff	amount 	10	13
object/tangible/component/armor/armor_segment_enhancement_krayt.iff	amount 	10	13
object/tangible/component/armor/armor_segment_enhancement_nightsister.iff	amount 	10	13
object/tangible/component/armor/armor_layer_nightsister.iff	amount 	10	13
object/tangible/component/armor/armor_segment_enhancement_dragonet.iff	amount 	7	13
object/tangible/component/armor/armor_segment_enhancement_fambaa.iff	amount 	7	13
object/tangible/component/armor/armor_segment_enhancement_brackaset.iff	amount 	7	13
object/tangible/component/armor/armor_segment_enhancement_sharnaff.iff	amount 	7	13
object/tangible/component/armor/armor_segment_enhancement_voritor_lizard.iff	amount 	7	13
object/tangible/component/armor/armor_segment_enhancement_kimogila.iff	amount 	10	13
object/tangible/component/armor/armor_segment_enhancement_rancor.iff	amount 	10	13
object/tangible/component/armor/feather_peko_albatross.iff	amount 	6	8
object/tangible/component/armor/armor_appearance_enhancement_acklay.iff	amount 	1	2
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s01.iff	amount 	1	1
	attribute.bonus.0	86	108
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s02.iff	amount 	1	1
	attribute.bonus.0	96	120
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s03.iff	amount 	1	1
	attribute.bonus.0	106	133
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s04.iff	amount 	1	1
	attribute.bonus.0	118	148
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s05.iff	amount 	1	1
	attribute.bonus.0	131	164
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s06.iff	amount 	1	1
	attribute.bonus.0	146	182
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s07.iff	amount 	1	1
	attribute.bonus.0	162	203
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s08.iff	amount 	1	1
	attribute.bonus.0	180	225
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s09.iff	amount 	1	1
	attribute.bonus.0	200	250
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s01.iff	amount 	1	1
	combat_critical_melee	2	3
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s02.iff	amount 	1	1
	combat_critical_melee	4	5
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s03.iff	amount 	1	1
	combat_critical_melee	6	8
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s04.iff	amount 	1	1
	combat_critical_melee	9	11
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s05.iff	amount 	1	1
	combat_critical_melee	12	14
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s06.iff	amount 	1	1
	combat_critical_melee	15	18
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s07.iff	amount 	1	1
	combat_critical_melee	19	21
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s08.iff	amount 	1	1
	combat_critical_melee	22	25
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_two_s09.iff	amount 	1	1
	combat_critical_melee	26	30
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s01.iff	amount 	1	1
	attribute.bonus.0	86	108
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s02.iff	amount 	1	1
	attribute.bonus.0	96	120
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s03.iff	amount 	1	1
	attribute.bonus.0	106	133
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s04.iff	amount 	1	1
	attribute.bonus.0	118	148
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s05.iff	amount 	1	1
	attribute.bonus.0	131	164
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s06.iff	amount 	1	1
	attribute.bonus.0	146	182
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s07.iff	amount 	1	1
	attribute.bonus.0	162	203
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s08.iff	amount 	1	1
	attribute.bonus.0	180	225
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s09.iff	amount 	1	1
	attribute.bonus.0	200	250
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s01.iff	amount 	1	1
	combat_critical_ranged	2	3
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s02.iff	amount 	1	1
	combat_critical_ranged	4	5
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s03.iff	amount 	1	1
	combat_critical_ranged	6	8
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s04.iff	amount 	1	1
	combat_critical_ranged	9	11
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s05.iff	amount 	1	1
	combat_critical_ranged	12	14
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s06.iff	amount 	1	1
	combat_critical_ranged	15	18
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s07.iff	amount 	1	1
	combat_critical_ranged	19	21
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s08.iff	amount 	1	1
	combat_critical_ranged	22	25
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_two_s09.iff	amount 	1	1
	combat_critical_ranged	26	30
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s10.iff	amount 	1	1
	attribute.bonus.2	86	108
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s11.iff	amount 	1	1
	attribute.bonus.2	96	120
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s12.iff	amount 	1	1
	attribute.bonus.2	106	133
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s13.iff	amount 	1	1
	attribute.bonus.2	118	148
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s14.iff	amount 	1	1
	attribute.bonus.2	131	164
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s15.iff	amount 	1	1
	attribute.bonus.2	146	182
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s16.iff	amount 	1	1
	attribute.bonus.2	162	203
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s17.iff	amount 	1	1
	attribute.bonus.2	180	225
object/tangible/component/weapon/new_weapon/enhancement_melee_slot_one_s18.iff	amount 	1	1
	attribute.bonus.2	200	250
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s10.iff	amount 	1	1
	attribute.bonus.2	86	108
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s11.iff	amount 	1	1
	attribute.bonus.2	96	120
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s12.iff	amount 	1	1
	attribute.bonus.2	106	133
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s13.iff	amount 	1	1
	attribute.bonus.2	118	148
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s14.iff	amount 	1	1
	attribute.bonus.2	131	164
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s15.iff	amount 	1	1
	attribute.bonus.2	146	182
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s16.iff	amount 	1	1
	attribute.bonus.2	162	203
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s17.iff	amount 	1	1
	attribute.bonus.2	180	225
object/tangible/component/weapon/new_weapon/enhancement_ranged_slot_one_s18.iff	amount 	1	1
	attribute.bonus.2	200	250
